Record_ID,Bus_ID,Bus_Number,Date,City,Route_Number,Route_Name,Source_Stop,Destination_Stop,Departure_Time,Arrival_Time,Distance_km,Bus_Type,Total_Seats,Passengers,Occupancy_Percentage,Ticket_Price,Revenue,Fuel_Consumption_Liters,Fuel_Cost,Delay_Minutes,Weather,Traffic_Level,Trip_Status,Customer_Rating
966,BUS10966,GJ35C4046,2025-05-25,Kolkata,B71,Salt Lake-Howrah,Salt Lake Stop,Howrah Terminal,09:15,10:04,22.2,Non-AC,45,48.0,106.67,17.22,826.56,6.15,584.25,8.0,Cloudy,Medium,On Time,4.9
104,BUS10104,WB31B6593,2025-11-27,Delhi,B45,Dwarka-ITO,Dwarka Terminal,ITO Stand,05:20,06:29,19.1,Electric,46,51.0,110.87,21.91,1117.41,0.99,11.88,0.0,Cloudy,High,On Time,
1518,BUS11518,GJ48A1609,2025-09-11,Pune,B176,Wagholi-Katraj,Wagholi Junction,Katraj Stop,20:20,23:11,96.7,Electric,44,40.0,90.91,24.61,984.4,6.54,78.48,12.0,Rainy,Low,Delayed,3.4
42,BUS10042,MH35A7610,2024-06-14,Hyderabad,L122,Dilsukhnagar-Ameerpet,Dilsukhnagar Junction,Ameerpet Junction,13:50,15:26,42.7,Mini Bus,27,6.0,22.22,15.42,92.52,9.97,947.15,6.0,Foggy,Medium,On Time,
572,BUS10572,RJ58B8451,2024-03-10,Mumbai,B29,Kurla-Bandra,Kurla Stand,Bandra Terminal,16:50,23:31,95.9,Mini Bus,35,26.0,74.29,25.37,659.62,20.37,1935.15,0.0,Cloudy,High,On Time,4.4
1892,BUS11892,TN28A1088,2024-08-15,Pune,B241,Wagholi-Katraj,Wagholi Stand,Katraj Junction,06:50,11:45,67.4,AC,35,15.0,42.86,36.13,541.95,23.79,2260.05,0.0,Cloudy,High,On Time,3.2
933,BUS10933,WB56C9238,2025-05-24,Mumbai,B37,Powai-Churchgate,Powai Stand,Churchgate Stand,20:30,22:24,85.2,AC,36,40.0,111.11,43.65,1746.0,30.84,2929.8,0.0,Foggy,Low,On Time,3.8
1166,BUS11166,TS96A9149,2024-11-17,Bengaluru,L217,Jayanagar-KR Puram,Jayanagar Stand,KR Puram Terminal,18:00,02:18,96.6,AC,41,16.0,39.02,33.47,535.52,34.15,3244.25,32.0,Foggy,High,Delayed,2.4
238,BUS10238,MH28B1977,2024-09-07,Ahmedabad,L274,Vastrapur-Kalupur,Vastrapur Stand,Kalupur Junction,05:50,07:17,23.9,Electric,37,6.0,16.22,17.29,103.74,1.81,21.72,9.0,Foggy,High,On Time,
1095,BUS11095,TS84C4065,2024-07-25,Pune,L171,Hinjewadi-Swargate,Hinjewadi Terminal,Swargate Junction,10:30,15:52,97.9,AC,55,50.0,90.91,36.2,1810.0,27.76,2637.2,0.0,Cloudy,High,On Time,
757,BUS10757,KA25B6306,2025-07-03,Chennai,R191,Porur-Egmore,Porur Stop,Egmore Stand,22:10,00:29,67.2,AC,41,27.0,65.85,27.1,731.7,23.65,,9.0,Foggy,Medium,On Time,4.3
426,BUS10426,GJ87A2457,2025-06-02,Mumbai,L106,Andheri-Dadar,Andheri Junction,Dadar Stop,15:55,18:46,89.5,Non-AC,45,43.0,95.56,32.86,1412.98,29.59,2811.05,0.0,Rainy,Medium,On Time,4.7
117,BUS10117,UP74A9682,2024-12-28,Jaipur,R92,Jagatpura-Sanganer,Jagatpura Terminal,Sanganer Terminal,20:05,23:48,45.2,Non-AC,47,50.0,106.38,21.46,1073.0,13.43,1275.85,0.0,Sunny,High,On Time,3.7
313,BUS10313,MH20A8974,2025-06-19,Hyderabad,R108,Uppal-Mehdipatnam,Uppal Terminal,Mehdipatnam Junction,11:30,12:14,26.3,Electric,36,30.0,83.33,18.75,562.5,2.6,31.2,2.0,Sunny,Low,On Time,3.8
699,BUS10699,TS71C8808,2025-07-10,Pune,R58,Hadapsar-Shivajinagar,Hadapsar Junction,Shivajinagar Stop,09:45,17:16,116.9,AC,45,35.0,77.78,40.19,1406.65,48.35,4593.25,83.0,Rainy,High,Delayed,2.3
1828,BUS11828,TS96B4915,2024-10-18,Lucknow,R228,Gomti Nagar-Charbagh,Gomti Nagar Stop,Charbagh Stand,14:05,18:32,76.8,Mini Bus,35,28.0,80.0,19.53,546.84,15.48,1470.6,25.0,Foggy,High,Delayed,2.1
1460,BUS11460,DL48A7492,2024-03-27,Bengaluru,L242,Whitefield-Majestic,Whitefield Stop,Majestic Stand,18:15,23:45,107.4,Mini Bus,29,31.0,106.9,26.41,818.71,24.05,2284.75,0.0,Cloudy,High,On Time,3.6
552,BUS10552,GJ30C9593,2025-12-10,Bengaluru,L47,Jayanagar-KR Puram,Jayanagar Junction,KR Puram Junction,08:00,09:29,64.7,AC,55,44.0,80.0,42.75,1881.0,18.31,1739.45,0.0,Sunny,Low,On Time,4.7
1629,BUS11629,WB84B2092,2024-10-01,Bengaluru,R219,Electronic City-Hebbal,Electronic City Stop,Hebbal Junction,16:10,19:56,108.0,Non-AC,48,44.0,91.67,33.29,1464.76,40.06,3805.7,0.0,Foggy,Medium,On Time,3.2
1530,BUS11530,UP45A4384,2025-10-27,Lucknow,R189,Indira Nagar-Hazratganj,Indira Nagar Stand,Hazratganj Junction,05:40,12:07,90.1,Electric,34,14.0,41.18,28.05,392.7,6.19,74.28,0.0,Sunny,High,On Time,4.0
1014,BUS11014,KA97A1005,2025-10-21,Pune,B199,Hadapsar-Shivajinagar,Hadapsar Stop,Shivajinagar Stand,09:25,12:25,56.7,Mini Bus,25,6.0,24.0,18.43,110.58,12.22,1160.9,60.0,Rainy,Medium,Delayed,3.2
1625,BUS11625,MH91C4886,2024-09-19,Hyderabad,R28,Uppal-Mehdipatnam,Uppal Junction,Mehdipatnam Terminal,22:50,04:32,86.4,Mini Bus,27,29.0,107.41,25.42,737.18,17.35,1648.25,9.0,Foggy,High,On Time,3.4
803,BUS10803,UP52C6750,2024-08-05,Hyderabad,R62,Gachibowli-Koti,Gachibowli Stand,Koti Terminal,14:40,17:34,95.9,Electric,34,24.0,70.59,33.62,806.88,7.68,92.16,23.0,Rainy,Low,Delayed,3.3
1821,BUS11821,TN86C7191,2025-09-02,Mumbai,L228,Borivali-Colaba,Borivali Stop,Colaba Terminal,06:50,09:36,79.0,Non-AC,47,8.0,17.02,31.45,251.6,24.98,2373.1,6.0,Cloudy,Medium,On Time,4.5
26,BUS10026,MH26A7966,2025-12-27,Chennai,B229,Anna Nagar-Guindy,Anna Nagar Stop,Guindy Junction,20:45,01:03,61.3,AC,47,6.0,12.77,43.02,258.12,23.36,2219.2,0.0,Foggy,High,On Time,3.2
710,BUS10710,KA58A1882,2024-08-22,Jaipur,R170,Mansarovar-Amer,Mansarovar Stand,Amer Junction,12:05,16:57,91.8,Mini Bus,30,3.0,10.0,26.74,80.22,19.82,1882.9,6.0,Sunny,High,On Time,4.3
1905,BUS11905,GJ15C8545,2024-09-29,Bengaluru,L70,Marathahalli-Banashankari,Marathahalli Terminal,Banashankari Stop,13:35,18:38,80.8,Mini Bus,31,34.0,109.68,20.27,689.18,18.61,1767.95,0.0,Rainy,High,On Time,
1193,BUS11193,TN51C1118,2025-05-02,Kolkata,L161,Dum Dum-Park Street,Dum Dum Terminal,Park Street Stand,14:00,15:04,39.0,AC,51,38.0,74.51,33.57,1275.66,16.13,1532.35,0.0,Sunny,Low,On Time,4.2
383,BUS10383,TN80A4648,2024-08-16,Pune,R291,Aundh-Camp,Aundh Stop,Camp Junction,17:45,19:01,20.3,AC,55,15.0,27.27,34.84,522.6,7.66,,0.0,Foggy,High,On Time,3.7
1342,BUS11342,TN36B1351,2025-07-07,Mumbai,L56,Andheri-Dadar,Andheri Stand,Dadar Stand,07:05,09:28,103.3,Mini Bus,26,14.0,53.85,24.1,337.4,26.54,2521.3,4.0,Foggy,Low,On Time,
1596,BUS11596,GJ80B4323,2025-08-01,Chennai,L180,Velachery-T Nagar,Velachery Stop,T Nagar Junction,18:25,00:09,82.2,Mini Bus,26,22.0,84.62,20.85,458.7,19.2,1824.0,36.0,Rainy,High,Delayed,2.6
66,BUS10066,GJ67B6470,2024-10-26,Delhi,L84,Saket-Karol Bagh,Saket Stop,Karol Bagh Stop,13:00,18:36,76.5,Electric,49,24.0,48.98,31.75,762.0,6.13,73.56,73.0,Cloudy,High,Delayed,
253,BUS10253,TS54A8952,2024-06-01,Ahmedabad,R176,Maninagar-Gota,Maninagar Stand,Gota Stand,21:40,05:06,107.1,AC,51,21.0,41.18,46.77,982.17,33.09,3143.55,10.0,Rainy,High,On Time,3.0
189,BUS10189,KA65A1653,2025-05-23,Hyderabad,L55,Uppal-Mehdipatnam,Uppal Terminal,Mehdipatnam Stand,17:30,17:51,15.7,Non-AC,59,21.0,35.59,11.7,245.7,4.26,404.7,0.0,Cloudy,Low,On Time,3.4
1715,BUS11715,TS42C4213,2025-09-03,Delhi,L102,Rajouri Garden-Anand Vihar,Rajouri Garden Stop,Anand Vihar Stop,07:55,12:47,117.4,AC,55,60.0,109.09,42.01,2520.6,43.34,4117.3,12.0,Foggy,Medium,Delayed,2.2
274,BUS10274,WB52B3329,2024-06-29,Lucknow,B199,Alambagh-Aliganj,Alambagh Stand,Aliganj Junction,05:45,13:04,102.5,AC,49,34.0,69.39,35.53,1208.02,33.45,3177.75,0.0,Sunny,High,On Time,
1923,BUS11923,RJ10B9198,2025-02-20,Lucknow,B19,Indira Nagar-Hazratganj,Indira Nagar Junction,Hazratganj Terminal,05:40,06:24,25.4,Electric,41,41.0,100.0,16.36,670.76,2.02,24.24,8.0,Sunny,Low,On Time,3.6
799,BUS10799,RJ39A3738,2024-04-30,Jaipur,R83,Jagatpura-Sanganer,Jagatpura Stand,Sanganer Terminal,05:50,09:06,32.4,Non-AC,43,29.0,67.44,23.51,681.79,9.95,945.25,76.0,Foggy,High,Delayed,3.8
1258,BUS11258,DL21C3072,2024-01-31,Chennai,B230,Porur-Egmore,Porur Stop,Egmore Junction,08:50,12:18,97.6,AC,40,14.0,35.0,38.78,542.92,30.55,2902.25,29.0,Sunny,Medium,Delayed,2.7
329,BUS10329,DL75B2488,2024-05-20,Chennai,R130,Porur-Egmore,Porur Stop,Egmore Terminal,08:55,09:43,16.9,AC,54,46.0,85.19,21.96,1010.16,6.9,655.5,14.0,Sunny,Medium,Delayed,3.2
1167,BUS11167,DL56B9981,2025-09-13,Kolkata,B64,Jadavpur-Barasat,Jadavpur Junction,Barasat Junction,08:10,08:51,8.7,Mini Bus,33,25.0,75.76,11.09,277.25,1.92,182.4,0.0,Sunny,High,On Time,4.2
173,BUS10173,UP47A8442,2025-09-21,Pune,R118,Hinjewadi-Swargate,Hinjewadi Stand,Swargate Terminal,11:10,13:25,28.5,Electric,38,19.0,50.0,20.22,384.18,2.17,26.04,89.0,Rainy,Low,Delayed,2.1
1778,BUS11778,TS37C5957,2025-01-28,Pune,L7,Wagholi-Katraj,Wagholi Junction,Katraj Junction,13:55,16:42,50.3,Non-AC,54,5.0,9.26,15.7,78.5,13.79,1310.05,0.0,Rainy,High,On Time,4.0
795,BUS10795,WB24C5752,2024-03-13,Bengaluru,B3,Yeshwanthpur-Silk Board,Yeshwanthpur Junction,Silk Board Terminal,07:50,16:23,102.8,AC,47,7.0,14.89,32.34,226.38,29.23,2776.85,0.0,Cloudy,High,On Time,5.0
1879,BUS11879,WB64C2874,2025-02-08,Pune,R131,Hinjewadi-Swargate,Hinjewadi Stand,Swargate Junction,19:45,20:16,17.7,AC,43,32.0,,29.56,945.92,5.83,553.85,2.0,Foggy,Low,On Time,4.3
1751,BUS11751,DL23C2830,2025-09-04,Lucknow,B27,Indira Nagar-Hazratganj,Indira Nagar Junction,Hazratganj Stand,13:00,15:42,41.5,Mini Bus,31,19.0,61.29,13.79,262.01,9.8,931.0,7.0,Cloudy,High,On Time,4.2
1169,BUS11169,TN80A7392,2025-02-17,Pune,R191,Hinjewadi-Swargate,Hinjewadi Junction,Swargate Stop,05:55,06:23,10.5,Electric,33,1.0,3.03,14.63,14.63,0.65,7.8,5.0,Foggy,Medium,On Time,4.7
1247,BUS11247,UP97A5784,2025-07-31,Bengaluru,L272,Whitefield-Majestic,Whitefield Junction,Majestic Terminal,14:15,16:34,35.0,AC,49,3.0,6.12,26.14,78.42,13.2,1254.0,88.0,Rainy,Low,Delayed,2.2
285,BUS10285,UP56C1010,2025-07-09,Hyderabad,L117,Kukatpally-Secunderabad,Kukatpally Stop,Secunderabad Junction,09:05,09:29,17.9,Non-AC,60,0.0,0.0,20.46,0.0,6.07,576.65,0.0,Rainy,Low,On Time,
408,BUS10408,TS65B5088,2025-05-09,Ahmedabad,B198,Bopal-Naroda,Bopal Stand,Naroda Stop,15:05,16:37,30.9,Electric,30,26.0,86.67,20.63,536.38,1.66,19.92,0.0,Sunny,High,On Time,4.4
1775,BUS11775,DL28A9416,2025-10-01,Hyderabad,R256,Uppal-Mehdipatnam,Uppal Terminal,Mehdipatnam Junction,06:10,09:04,35.7,Electric,44,0.0,0.0,29.72,0.0,2.74,32.88,0.0,Rainy,High,Cancelled,1.6
175,BUS10175,WB78B6155,2025-09-25,Jaipur,B163,Vaishali Nagar-Badi Chaupar,Vaishali Nagar Stop,Badi Chaupar Stop,06:05,09:07,93.5,AC,55,38.0,69.09,42.18,1602.84,37.34,3547.3,9.0,Rainy,Medium,On Time,3.9
212,BUS10212,DL43C8215,2024-04-03,Lucknow,R241,Vikas Nagar-Kaiserbagh,Vikas Nagar Stop,Kaiserbagh Terminal,14:35,16:58,105.2,AC,37,33.0,89.19,38.15,1258.95,39.96,3796.2,0.0,Sunny,Low,On Time,4.0
1504,BUS11504,TN77C5629,2025-06-04,Hyderabad,B254,LB Nagar-Miyapur,LB Nagar Stand,Miyapur Stand,13:45,17:19,81.7,Mini Bus,30,16.0,53.33,21.94,351.04,17.3,1643.5,14.0,Sunny,Medium,Delayed,3.1
700,BUS10700,WB83B8775,2024-12-25,Ahmedabad,L100,Bopal-Naroda,Bopal Terminal,Naroda Stop,22:25,23:11,18.2,AC,47,42.0,89.36,25.33,1063.86,7.62,723.9,4.0,Sunny,Medium,On Time,3.0
157,BUS10157,KA98C5658,2025-02-04,Mumbai,B61,Kurla-Bandra,Kurla Terminal,Bandra Stop,12:25,14:23,34.6,AC,37,4.0,10.81,34.09,136.36,11.16,1060.2,0.0,Sunny,High,On Time,
1030,BUS11030,TS57B8770,2025-01-25,Chennai,R242,Adyar-Broadway,Adyar Terminal,Broadway Stand,10:35,12:43,38.3,Electric,44,11.0,25.0,28.19,310.09,2.02,24.24,0.0,Cloudy,High,On Time,4.9
47,BUS10047,KA43A4322,2024-06-12,Jaipur,B112,Mansarovar-Amer,Mansarovar Stand,Amer Stand,15:15,18:10,106.2,Electric,49,44.0,89.8,26.03,1145.32,5.45,65.4,11.0,Cloudy,Low,Delayed,3.1
947,BUS10947,WB93A8025,2025-08-06,Kolkata,B41,Dum Dum-Park Street,Dum Dum Stand,Park Street Junction,18:40,21:17,90.0,Non-AC,55,35.0,63.64,23.51,822.85,22.83,2168.85,8.0,Sunny,Low,On Time,4.7
565,BUS10565,DL57B8679,2024-04-17,Pune,R284,Hadapsar-Shivajinagar,Hadapsar Junction,Shivajinagar Stop,08:00,09:07,17.3,Mini Bus,35,19.0,54.29,15.72,298.68,4.64,440.8,44.0,Rainy,Low,Delayed,3.4
1385,BUS11385,UP98C7918,2024-05-10,Lucknow,L287,Indira Nagar-Hazratganj,Indira Nagar Terminal,Hazratganj Stop,21:15,00:02,85.4,AC,45,29.0,64.44,29.3,849.7,29.43,2795.85,0.0,Foggy,Medium,On Time,3.3
1006,BUS11006,GJ36C9533,2025-11-29,Kolkata,L87,Salt Lake-Howrah,Salt Lake Stand,Howrah Stand,14:30,16:13,49.7,Non-AC,48,19.0,39.58,23.85,453.15,18.22,1730.9,0.0,Cloudy,Medium,On Time,3.6
1693,BUS11693,TN55C6547,2025-09-12,Lucknow,B214,Vikas Nagar-Kaiserbagh,Vikas Nagar Terminal,Kaiserbagh Stand,13:00,15:45,68.3,Electric,42,3.0,7.14,28.86,86.58,6.03,72.36,0.0,Rainy,Medium,On Time,5.0
1446,BUS11446,DL84A6622,2024-01-26,Ahmedabad,R287,Maninagar-Gota,Maninagar Stop,Gota Terminal,08:10,09:45,65.4,AC,55,23.0,41.82,40.48,931.04,22.74,2160.3,0.0,Sunny,Low,On Time,3.1
69,BUS10069,WB86A6651,2024-10-14,Delhi,L238,Saket-Karol Bagh,Saket Stand,Karol Bagh Terminal,21:45,22:15,7.4,AC,41,37.0,90.24,32.49,1202.13,3.07,291.65,0.0,Rainy,High,On Time,4.7
598,BUS10598,UP62B9158,2024-01-06,Kolkata,B251,Salt Lake-Howrah,Salt Lake Stop,Howrah Junction,20:50,01:19,101.9,Mini Bus,28,8.0,28.57,27.97,223.76,19.05,1809.75,9.0,Cloudy,Medium,On Time,3.3
457,BUS10457,MH42C5816,2025-10-12,Lucknow,B154,Chinhat-Aminabad,Chinhat Stand,Aminabad Junction,12:00,15:20,85.7,AC,40,25.0,62.5,39.18,979.5,30.48,2895.6,37.0,Cloudy,Medium,Delayed,3.6
1589,BUS11589,RJ21B6854,2024-06-27,Kolkata,R192,Jadavpur-Barasat,Jadavpur Stand,Barasat Terminal,08:45,11:55,73.8,Electric,42,9.0,21.43,31.92,287.28,5.27,63.24,6.0,Sunny,Medium,On Time,4.7
55,BUS10055,MH59B2742,2024-02-09,Mumbai,B266,Powai-Churchgate,Powai Terminal,Churchgate Junction,13:40,14:42,30.1,Non-AC,56,47.0,83.93,18.78,882.66,9.13,867.35,0.0,Foggy,Medium,On Time,3.4
513,BUS10513,TN33C4145,2025-06-24,Jaipur,B3,Malviya Nagar-Sindhi Camp,Malviya Nagar Stand,Sindhi Camp Stop,14:40,16:16,61.5,AC,55,63.0,114.55,36.18,2279.34,19.6,1862.0,0.0,Rainy,Low,On Time,3.2
1563,BUS11563,GJ66A3812,2024-05-04,Delhi,B130,Dwarka-ITO,Dwarka Stop,ITO Stop,08:40,09:14,8.4,Electric,30,3.0,10.0,14.8,44.4,0.76,9.12,0.0,Sunny,High,On Time,4.4
1469,BUS11469,TN62B6153,2025-01-16,Lucknow,R154,Gomti Nagar-Charbagh,Gomti Nagar Terminal,Charbagh Stand,19:10,20:10,32.9,AC,43,1.0,2.33,25.29,25.29,12.73,1209.35,0.0,Rainy,Medium,On Time,4.8
1318,BUS11318,MH99C2600,2025-06-26,Kolkata,B164,Jadavpur-Barasat,Jadavpur Terminal,Barasat Junction,10:10,10:38,16.2,AC,42,17.0,40.48,17.94,304.98,6.28,596.6,0.0,Foggy,Medium,On Time,3.6
1887,BUS11887,TN96A7402,2025-10-06,Kolkata,B51,Salt Lake-Howrah,Salt Lake Junction,Howrah Stop,06:20,10:22,67.1,AC,40,0.0,0.0,34.37,0.0,23.24,2207.8,,Cloudy,High,Cancelled,1.9
1606,BUS11606,TS26C1460,2024-11-21,Ahmedabad,B52,Vastrapur-Kalupur,Vastrapur Junction,Kalupur Stand,21:55,00:33,98.7,Non-AC,44,16.0,36.36,32.66,522.56,32.94,3129.3,9.0,Sunny,Low,On Time,4.5
43,BUS10043,WB20B4769,2024-06-29,Pune,B189,Hadapsar-Shivajinagar,Hadapsar Terminal,Shivajinagar Junction,06:20,11:27,99.3,Electric,39,18.0,46.15,34.14,614.52,7.11,85.32,15.0,Rainy,High,Delayed,3.8
983,BUS10983,TS79C4020,2025-05-13,Delhi,L4,Rohini-Connaught Place,Rohini Junction,Connaught Place Stop,16:10,17:46,59.5,AC,52,33.0,63.46,39.82,1314.06,23.13,2197.35,11.0,Sunny,Low,Delayed,2.3
95,BUS10095,UP16C4374,2025-03-14,Delhi,B227,Saket-Karol Bagh,Saket Junction,Karol Bagh Stop,21:10,01:41,61.3,Non-AC,41,3.0,7.32,19.21,57.63,18.09,1718.55,0.0,Sunny,High,On Time,
202,BUS10202,KA32B8077,2024-11-28,Delhi,B38,Noida-Nehru Place,Noida Stop,Nehru Place Terminal,08:55,10:52,64.1,Non-AC,58,5.0,8.62,21.64,108.2,16.88,1603.6,21.0,Cloudy,Low,Delayed,3.0
225,BUS10225,DL76B5916,2025-05-13,Lucknow,L257,Chinhat-Aminabad,Chinhat Stop,Aminabad Stand,19:30,19:57,17.3,Non-AC,52,2.0,3.85,18.42,36.84,4.92,467.4,0.0,Cloudy,Low,On Time,3.3
1851,BUS11851,UP10B5363,2025-04-05,Kolkata,L97,Garia-Esplanade,Garia Terminal,Esplanade Terminal,10:25,11:21,13.0,Non-AC,54,22.0,40.74,17.55,386.1,4.52,429.4,37.0,Cloudy,Low,Delayed,2.4
1082,BUS11082,DL89B6845,2025-06-15,Chennai,L208,Adyar-Broadway,Adyar Junction,Broadway Junction,20:50,23:57,117.6,AC,43,10.0,23.26,34.09,340.9,33.48,3180.6,0.0,Foggy,Low,On Time,3.2
1481,BUS11481,RJ66C5900,2025-07-07,Mumbai,L54,Andheri-Dadar,Andheri Stop,Dadar Terminal,20:40,00:25,77.1,Mini Bus,25,28.0,112.0,24.77,693.56,19.09,1813.55,77.0,Foggy,Medium,Delayed,3.3
374,BUS10374,WB63C8610,2025-03-01,Lucknow,R271,Chinhat-Aminabad,Chinhat Stand,Aminabad Stop,09:55,12:13,83.4,Non-AC,59,11.0,18.64,32.18,353.98,30.44,2891.8,5.0,Rainy,Low,On Time,
535,BUS10535,MH10A6143,2024-05-29,Lucknow,R12,Chinhat-Aminabad,Chinhat Stand,Aminabad Terminal,07:00,10:15,105.0,Mini Bus,28,14.0,50.0,25.53,357.42,23.03,2187.85,45.0,Sunny,Low,Delayed,3.3
519,BUS10519,MH66B3124,2024-11-01,Lucknow,L255,Chinhat-Aminabad,Chinhat Stop,Aminabad Stop,16:45,18:16,22.4,Mini Bus,34,13.0,38.24,12.1,157.3,5.88,558.6,,Sunny,High,Delayed,2.5
1052,BUS11052,WB61A5337,2024-02-26,Bengaluru,R107,Electronic City-Hebbal,Electronic City Stop,Hebbal Junction,10:45,12:22,52.1,AC,45,,2.22,23.78,23.78,15.74,1495.3,11.0,Cloudy,Low,Delayed,2.7
1396,BUS11396,UP90B2120,2025-11-28,Hyderabad,R161,LB Nagar-Miyapur,LB Nagar Terminal,Miyapur Stop,13:25,14:40,43.9,Mini Bus,25,30.0,120.0,20.82,624.6,10.63,1009.85,0.0,Cloudy,Low,On Time,3.2
1500,BUS11500,RJ32A3089,2025-03-26,Chennai,L265,Anna Nagar-Guindy,Anna Nagar Stand,Guindy Junction,06:35,07:34,36.3,Non-AC,56,44.0,78.57,15.96,702.24,10.9,1035.5,0.0,Rainy,Low,On Time,3.1
467,BUS10467,TN73C7398,2024-12-07,Kolkata,B18,Behala-Sealdah,Behala Stand,Sealdah Terminal,09:05,09:49,28.7,Electric,38,18.0,47.37,17.41,313.38,1.49,17.88,0.0,Foggy,Low,On Time,4.8
13,BUS10013,DL60B3667,2025-11-14,Pune,B71,Kothrud-Viman Nagar,Kothrud Stop,Viman Nagar Terminal,12:10,15:31,86.2,Mini Bus,30,24.0,80.0,22.58,541.92,20.89,1984.55,1.0,Sunny,Medium,On Time,3.2
